State,County,County FIPS Code,2010 Population,CO          8-hr (ppm),Pb           3-mo (µg/m3),NO2         AM (ppb),NO2          1-hr (ppb),O3            8-hr (ppm),PM10        24-hr (µg/m3) ,PM2.5     Wtd AM (µg/m3) ,PM2.5     24-hr (µg/m3) ,SO2         1-hr (ppb)
Alabama,Baldwin County,01003,182265,ND,ND,ND,ND,0.063,ND,7.5,15,ND
Alabama,Clay County,01027,13932,ND,ND,ND,ND,ND,ND,7.4,15,ND
Alabama,Colbert County,01033,54428,ND,ND,ND,ND,0.056,ND,IN,IN,ND
Alabama,DeKalb County,01049,71109,ND,ND,ND,ND,0.062,ND,IN,IN,ND
Alabama,Elmore County,01051,79303,ND,ND,ND,ND,0.059,ND,ND,ND,ND
Alabama,Escambia County,01053,38319,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alabama,Etowah County,01055,104430,ND,ND,ND,ND,0.063,ND,8.3,16,ND
Alabama,Houston County,01069,101547,ND,ND,ND,ND,0.057,ND,8.1,17,ND
Alabama,Jefferson County,01073,658466,1,ND,12,50,0.074,106,10.4,21,41
Alabama,Madison County,01089,334811,ND,ND,ND,ND,0.063,34,7.4,14,ND
Alabama,Mobile County,01097,412992,ND,ND,ND,ND,0.059,ND,8.3,17,22
Alabama,Montgomery County,01101,229363,ND,ND,ND,ND,0.06,33,9,16,ND
Alabama,Morgan County,01103,119490,ND,ND,ND,ND,0.064,ND,7.6,14,ND
Alabama,Pike County,01109,32899,ND,0.16,ND,ND,ND,ND,ND,ND,ND
Alabama,Russell County,01113,52947,ND,ND,ND,ND,0.061,ND,9.4,21,ND
Alabama,Shelby County,01117,195085,ND,ND,ND,ND,0.07,ND,IN,IN,78
Alabama,Sumter County,01119,13763,ND,ND,ND,ND,0.057,ND,IN,IN,4
Alabama,Talladega County,01121,82291,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alabama,Tuscaloosa County,01125,194656,ND,ND,ND,ND,0.06,ND,7.9,15,ND
Alabama,Walker County,01127,67023,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alaska,Anchorage Municipality,02020,291826,2,ND,ND,ND,ND,98,8.2,42,ND
Alaska,Bethel Census Area,02050,17013,ND,ND,ND,ND,ND,99,ND,ND,ND
Alaska,Denali Borough,02068,1826,ND,ND,ND,ND,0.053,ND,IN,IN,ND
Alaska,Fairbanks North Star Borough,02090,97581,2,ND,IN,IN,0.047,200,15.5,78,30
Alaska,Juneau City and Borough,02110,31275,ND,ND,ND,ND,ND,50,6.8,25,ND
Alaska,Kenai Peninsula Borough,02122,55400,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alaska,Ketchikan Gateway Borough,02130,13477,ND,ND,ND,ND,ND,ND,IN,IN,ND
Alaska,Matanuska-Susitna Borough,02170,88995,ND,ND,ND,ND,ND,148,6.5,28,ND
Alaska,Skagway Municipality,02232,968,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arizona,Apache County,04001,71518,ND,ND,ND,ND,ND,38,2.4,7,ND
Arizona,Cochise County,04003,131346,ND,ND,ND,ND,0.066,97,5.1,10,ND
Arizona,Coconino County,04005,134421,ND,ND,ND,ND,0.063,ND,IN,IN,ND
Arizona,Gila County,04007,53597,ND,0.16,ND,ND,0.075,191,IN,IN,191
Arizona,La Paz County,04012,20489,ND,ND,ND,ND,0.062,40,3.3,7,ND
Arizona,Maricopa County,04013,3817117,2,0.05,25,52,0.076,183,8.4,23,5
Arizona,Mohave County,04015,200186,ND,ND,ND,ND,ND,72,IN,IN,ND
Arizona,Navajo County,04017,107449,ND,ND,ND,ND,0.066,35,ND,ND,ND
Arizona,Pima County,04019,980263,1,ND,7,30,0.065,139,3.8,9,1
Arizona,Pinal County,04021,375770,ND,ND,ND,ND,0.072,990,10.9,30,ND
Arizona,Santa Cruz County,04023,47420,ND,ND,ND,ND,ND,108,8.8,25,ND
Arizona,Yavapai County,04025,211033,ND,ND,ND,ND,0.061,ND,IN,IN,ND
Arizona,Yuma County,04027,195751,ND,ND,ND,ND,0.065,174,7.9,16,ND
Arkansas,Arkansas County,05001,19019,ND,ND,ND,ND,ND,ND,7.9,19,ND
Arkansas,Ashley County,05003,21853,ND,ND,ND,ND,ND,ND,8.2,17,ND
Arkansas,Benton County,05007,221339,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arkansas,Clark County,05019,22995,ND,ND,ND,ND,0.057,ND,ND,ND,ND
Arkansas,Craighead County,05031,96443,ND,ND,ND,ND,ND,ND,IN,IN,ND
Arkansas,Crittenden County,05035,50902,ND,ND,8,40,0.064,ND,8.3,18,ND
